,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
1550,S,E,NA,S,NA,61,748,5,NA,0,No,0,No,0,No,0,No,29,No,0,No,32,No,38,No,8,No,1,No,0,0,0,0,48,0,52,61,17,0,0,14,12,2,No,8,92,92,19,23,NA,97,14,31,28,22,5,2.72,25,0,5,38,24,33,0,66,0,66,NA,61,29.28,0,0,52.3,61,19.52,0,0,34.9,6,1.2,0,0,2.1,12,2.4,0,0,4.3,18,1.08,1.9,18,0.54,1,18,0.54,1,18,1.44,2.6,0,0,0,0,0,0,56,0
7483,D,2,NA,NA,NA,1918,922,B,B,11,No,1,No,264,Yes,7,No,195,Yes,0,No,1440,Yes,163,Yes,169,Yes,265,Yes,1,0,15,0,10,0,74,8,37,20,3,10,1,14,NA,4,96,96,18,26,NA,98,4,4,8,30,54,4.27,100,0,18,60,21,0,0,2001,9,1989,NA,1917,920.16,0,0,54.6,1910,611.2,0,0,36.2,415,83,0,0,4.9,0,0,0,0,0,362,21.72,1.3,362,10.86,0.6,362,10.86,0.6,362,28.96,1.7,0,0,0,0,0,0,1686.76,0
2072,S,H,A,NA,NA,187,364,B,B,107,Yes,0,No,0,No,1,No,77,Yes,1,No,0,No,183,Yes,6,No,18,No,52,0,0,0,45,1,0,99,0,0,0,2,0,7,No,46,53,55,NA,NA,NA,51,34,43,7,15,1,2.05,84,16,0,0,0,15,85,358,0,348,NA,24,11.52,152,45.6,35.7,23,7.36,163,32.6,25,0,0,163,24.45,15.3,20,4,87,19.575,14.7,3,0.18,0.1,3,0.09,0.1,3,0.09,0.1,3,0.24,0.1,27,8.1,5.1,21,6.3,3.9,23.48,136.625
272,S,E,NA,NA,NA,232,663,2,5,10,No,0,No,6,No,0,No,210,Yes,5,No,0,No,214,Yes,195,Yes,16,No,5,0,2,0,90,2,0,90,49,2,7,74,11,7,No,3,97,99,20,25,NA,82,46,34,13,6,1,1.81,100,0,24,76,0,0,0,241,3,237,158.77574,232,111.36,0,0,54,230,73.6,0,0,35.7,49,9.8,0,0,4.8,0,0,0,0,0,57,3.42,1.7,57,1.71,0.8,57,1.71,0.8,57,4.56,2.2,0,0,0,0,0,0,206.16,0
3418,S,M,NA,NA,NA,729,797,8,4,11,No,5,No,32,No,6,No,275,Yes,2,No,322,Yes,127,Yes,85,No,4,No,1,1,4,1,38,0,44,17,0,17,0,7,8,1,No,2,98,98,NA,NA,27,94,5,14,36,29,17,3.39,86,11,0,0,0,100,0,746,0,746,175.79851,729,349.92,0,0,48,729,233.28,0,0,32,0,0,0,0,0,340,68,0,0,9.3,386,23.16,3.2,386,11.58,1.6,386,11.58,1.6,386,30.88,4.2,0,0,0,0,0,0,728.4,0
10180,S,H,A,S,NA,20,574,B,B,1,No,0,No,0,No,0,No,17,No,0,No,2,No,16,No,9,No,3,No,2,0,0,3,87,0,7,58,0,0,13,32,17,12,No,67,33,78,NA,NA,15,88,53,25,19,0,4,1.77,100,0,0,0,0,0,100,60,0,52,NA,0,0,19,5.7,25.1,0,0,20,4,17.6,0,0,20,3,13.2,0,0,14,3.15,13.8,0,0,0,0,0,0,0,0,0,0,0,0,13,3.9,17.1,10,3,13.2,0,22.75
2928,S,E,NA,NA,NA,286,720,4,9,246,Yes,1,No,2,No,0,No,37,No,0,No,0,No,229,Yes,18,No,46,No,86,0,1,0,12,0,0,80,47,5,0,6,0,15,No,7,94,96,18,26,NA,35,10,26,40,19,6,2.86,85,12,22,78,0,0,0,304,0,304,160.44761,286,137.28,0,0,53.2,285,91.2,0,0,35.4,69,13.8,0,0,5.4,0,0,0,0,0,78,4.68,1.8,78,2.34,0.9,78,2.34,0.9,78,6.24,2.4,0,0,0,0,0,0,257.88,0
5432,S,E,NA,NA,NA,299,877,9,9,9,No,0,No,27,No,15,No,40,No,1,No,206,Yes,31,No,27,No,44,No,3,0,9,5,15,1,66,11,52,0,0,5,6,15,No,6,94,94,19,27,NA,95,0,8,25,46,22,3.8,100,0,22,78,0,0,0,318,1,317,181.60546,299,143.52,0,0,53.2,299,95.68,0,0,35.5,63,12.6,0,0,4.7,0,0,0,0,0,90,5.4,2,90,2.7,1,90,2.7,1,90,7.2,2.7,0,0,0,0,0,0,269.8,0
4681,D,1,NA,NA,NA,1024,753,B,B,7,No,3,No,9,No,2,No,472,Yes,2,No,521,Yes,423,Yes,366,Yes,104,Yes,1,0,1,0,46,0,51,38,13,0,7,26,13,11,NA,4,96,96,18,26,23,88,22,19,17,26,16,2.95,99,2,9,28,10,20,33,1073,8,1064,NA,683,327.84,339,101.7,44,681,217.92,339,67.8,29.3,98,19.6,339,50.85,7.2,107,21.4,216,48.6,7.2,185,11.1,1.1,185,5.55,0.6,185,5.55,0.6,185,14.8,1.5,139,41.7,4.3,138,41.4,4.2,623.76,352.05
9192,S,E,NA,NA,NA,366,607,1,1,117,Yes,1,No,15,No,14,No,160,Yes,4,No,55,Yes,288,Yes,111,Yes,40,No,32,0,4,4,45,1,14,75,37,2,2,22,13,11,No,14,86,96,20,29,NA,97,18,39,30,12,0,2.36,97,3,20,60,20,0,0,431,0,427,160.04768,366,175.68,0,0,54.4,366,117.12,0,0,36.3,84,16.8,0,0,5.2,0,0,0,0,0,67,4.02,1.2,67,2.01,0.6,66,1.98,0.6,66,5.28,1.6,0,0,0,0,0,0,322.89,0
7098,S,H,A,S,NA,28,553,B,B,0,No,5,No,0,No,1,No,16,No,0,No,4,No,15,No,16,No,6,No,4,7,0,1,61,0,24,38,0,0,7,45,6,11,No,61,39,69,NA,NA,NA,70,35,33,14,18,0,2.14,100,14,0,0,0,0,100,70,0,70,NA,0,0,28,8.4,18,0,0,28,5.6,12,0,0,28,4.2,9,0,0,27,6.075,13,0,0,0,0,0,0,0,0,0,0,0,0,43,12.9,27.6,32,9.6,20.5,0,46.775
1718,S,E,NA,NA,NA,455,647,2,2,59,No,5,No,16,No,7,No,296,Yes,2,No,63,No,366,Yes,185,Yes,34,No,13,1,4,2,64,0,13,79,47,1,12,33,9,8,No,12,88,89,19,28,NA,65,18,34,29,11,8,2.57,100,0,22,78,0,0,0,516,1,515,161.37807,455,218.4,0,0,53.2,455,145.6,0,0,35.4,120,24,0,0,5.8,0,0,0,0,0,114,6.84,1.7,114,3.42,0.8,114,3.42,0.8,114,9.12,2.2,0,0,0,0,0,0,410.8,0
5214,S,E,NA,NA,NA,640,855,9,10,16,No,0,No,72,No,7,No,480,Yes,7,No,56,No,306,Yes,225,Yes,64,No,2,0,11,1,75,1,9,39,48,9,0,19,18,10,No,2,98,99,22,34,NA,92,20,28,39,8,5,2.5,100,0,24,76,0,0,0,654,0,654,171.55772,640,307.2,0,0,53.5,639,204.48,0,0,35.6,163,32.6,0,0,5.7,0,0,0,0,0,150,9,1.6,150,4.5,0.8,149,4.47,0.8,149,11.92,2.1,0,0,0,0,0,0,574.17,0
2216,S,E,NA,NA,NA,282,856,9,8,14,No,1,No,21,No,11,No,77,Yes,1,No,154,Yes,69,Yes,8,No,36,No,5,0,7,4,28,0,54,24,46,7,0,2,2,13,No,5,95,95,20,31,NA,98,3,11,35,34,17,3.52,100,0,26,74,0,0,0,298,1,297,179.77982,282,135.36,0,0,53,282,90.24,0,0,35.4,89,17.8,0,0,7,0,0,0,0,0,59,3.54,1.4,59,1.77,0.7,59,1.77,0.7,59,4.72,1.8,0,0,0,0,0,0,255.2,0
1892,D,2,NA,NA,NA,738,645,B,B,49,No,4,No,3,No,9,No,483,Yes,2,No,178,Yes,606,Yes,292,Yes,110,Yes,7,0,0,1,62,0,27,78,20,1,13,29,8,14,NA,15,84,84,20,24,28,94,23,33,36,7,1,2.3,100,2,15,40,14,32,0,861,1,858,NA,735,352.8,2,0.6,52.8,734,234.88,2,0.4,35.2,101,20.2,0,0,3,113,22.6,0,0,3.4,187,11.22,1.7,187,5.61,0.8,187,5.61,0.8,188,15.04,2.2,0,0,0,0,0,0,667.96,1
4348,D,2,NA,NA,NA,1796,702,B,B,13,No,0,No,222,Yes,15,No,1392,Yes,1,No,152,Yes,1666,Yes,1304,Yes,180,Yes,1,0,12,1,78,0,9,92,31,12,9,66,13,10,NA,8,92,93,19,28,27,98,54,28,10,7,0,1.72,100,0,13,44,13,30,0,1925,7,1916,NA,1793,860.64,2,0.6,52.5,1790,572.8,2,0.4,35,268,53.6,0,0,3.3,265,53,0,0,3.2,491,29.46,1.8,491,14.73,0.9,491,14.73,0.9,489,39.12,2.4,0,0,0,0,0,0,1638.08,1
6243,S,E,NA,NA,NA,422,781,7,3,126,Yes,2,No,106,Yes,14,No,70,Yes,1,No,100,Yes,140,Yes,58,No,47,No,31,0,24,4,17,0,23,31,23,12,0,10,5,11,No,8,92,94,18,33,NA,66,3,16,33,30,17,3.43,96,0,13,46,18,23,0,457,0,457,175.14604,422,202.56,0,0,53.1,422,135.04,0,0,35.4,76,15.2,0,0,4,56,11.2,0,0,2.9,88,5.28,1.4,88,2.64,0.7,88,2.64,0.7,88,7.04,1.8,0,0,0,0,0,0,381.6,0
10113,D,2,NA,NA,NA,339,735,B,B,0,No,2,No,1,No,0,No,275,Yes,4,No,55,Yes,223,Yes,89,No,0,No,0,1,0,0,81,1,16,64,24,2,15,10,20,0,NA,2,98,98,19,31,NA,24,29,26,32,11,2,2.32,95,0,10,39,18,32,0,347,0,347,NA,339,162.72,0,0,52.3,339,108.48,0,0,34.9,44,8.8,0,0,2.8,53,10.6,0,0,3.4,103,6.18,2,103,3.09,1,103,3.09,1,103,8.24,2.6,0,0,0,0,0,0,311.2,0
4729,D,2,NA,NA,NA,296,730,B,B,4,No,9,No,1,No,1,No,11,No,4,No,263,Yes,109,Yes,0,No,34,No,2,3,0,1,4,1,89,35,19,11,0,0,0,12,NA,10,90,92,20,23,22,96,4,27,46,19,5,2.94,100,0,12,36,15,31,5,322,0,322,NA,283,135.84,13,3.9,51.4,283,90.56,13,2.6,34.3,39,7.8,13,1.95,3.6,60,12,11,2.475,5.3,62,3.72,1.4,62,1.86,0.7,62,1.86,0.7,62,4.96,1.8,4,1.2,0.4,4,1.2,0.4,258.6,13.325
6225,S,E,NA,NA,NA,278,688,3,6,45,No,2,No,102,Yes,3,No,89,Yes,14,No,23,No,241,Yes,173,Yes,38,No,19,1,35,1,31,4,9,75,38,2,1,56,5,13,No,13,87,92,20,33,NA,61,31,34,23,10,3,2.18,96,9,19,61,21,0,0,321,0,321,161.90632,278,133.44,0,0,54.7,278,88.96,0,0,36.5,52,10.4,0,0,4.3,0,0,0,0,0,55,3.3,1.4,55,1.65,0.7,55,1.65,0.7,55,4.4,1.8,0,0,0,0,0,0,243.8,0
951,S,E,NA,NA,NA,453,902,10,3,2,No,1,No,23,No,2,No,30,No,4,No,390,Yes,7,No,6,No,32,No,1,0,5,0,6,1,86,1,50,13,0,1,0,7,No,5,95,95,19,29,NA,89,0,2,8,36,54,4.4,100,0,26,74,0,0,0,474,1,473,189.15299,452,216.96,0,0,53,451,144.32,0,0,35.3,129,25.8,0,0,6.3,0,0,0,0,0,110,6.6,1.6,110,3.3,0.8,110,3.3,0.8,110,8.8,2.2,0,0,0,0,0,0,409.08,0
1887,S,E,NA,NA,D,147,725,5,1,5,No,4,No,5,No,0,No,15,No,0,No,114,Yes,41,No,1,No,13,No,4,2,3,0,10,1,78,26,28,0,0,1,0,8,No,10,89,89,19,26,NA,77,1,9,52,28,11,3.39,92,8,12,50,15,24,0,165,0,165,175.15872,147,70.56,0,0,52.7,147,47.04,0,0,35.2,22,4.4,0,0,3.3,16,3.2,0,0,2.4,43,2.58,1.9,43,1.29,1,42,1.26,0.9,43,3.44,2.6,0,0,0,0,0,0,133.77,0
8675,S,E,NA,NA,NA,224,694,3,5,4,No,0,No,7,No,11,No,197,Yes,0,No,5,No,159,Yes,151,Yes,22,No,2,0,4,5,86,0,2,68,98,0,10,69,0,10,No,5,93,93,20,NA,NA,61,29,38,14,16,3,2.28,86,3,51,49,0,0,0,241,0,240,162.45073,224,107.52,0,0,53.5,224,71.68,0,0,35.7,0,0,0,0,0,0,0,0,0,0,108,6.48,3.2,108,3.24,1.6,108,3.24,1.6,108,8.64,4.3,0,0,0,0,0,0,200.8,0
8739,S,E,NA,NA,NA,250,711,4,1,10,No,1,No,27,No,4,No,138,Yes,5,No,65,Yes,143,Yes,71,Yes,40,No,6,0,10,2,55,2,24,55,43,13,3,22,7,15,No,7,93,93,20,31,NA,80,12,33,31,19,6,2.75,100,0,25,75,0,0,0,268,0,268,170.77001,250,120,0,0,53.4,249,79.68,0,0,35.5,77,15.4,0,0,6.9,0,0,0,0,0,48,2.88,1.3,48,1.44,0.6,47,1.41,0.6,48,3.84,1.7,0,0,0,0,0,0,224.65,0
1374,S,H,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,0,0,0,81,33,0,0,0,0,0,0,No,67,33,90,NA,NA,NA,76,6,62,6,19,6,2.56,100,0,0,0,0,0,100,21,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,S,M,NA,S,Y,46,767,7,NA,0,No,4,No,0,No,0,No,2,No,0,No,38,No,24,No,0,No,5,No,0,10,0,0,4,0,81,46,0,0,0,0,0,10,No,2,98,98,NA,NA,NA,92,9,18,34,23,16,3.18,100,0,0,0,0,100,0,48,1,47,NA,46,22.08,0,0,48.5,45,14.4,0,0,31.6,0,0,0,0,0,21,4.2,0,0,9.2,25,1.5,3.3,25,0.75,1.6,24,0.72,1.6,24,1.92,4.2,0,0,0,0,0,0,45.57,0
2479,S,E,NA,NA,NA,479,760,6,9,72,Yes,2,No,21,No,12,No,330,Yes,5,No,26,No,351,Yes,246,Yes,38,No,15,0,5,2,67,2,6,70,42,6,0,40,13,8,No,5,95,95,20,28,NA,66,11,34,40,14,2,2.63,100,0,21,74,5,0,0,506,0,506,165.20266,479,229.92,0,0,53.6,479,153.28,0,0,35.7,126,25.2,0,0,5.9,0,0,0,0,0,102,6.12,1.4,102,3.06,0.7,102,3.06,0.7,102,8.16,1.9,0,0,0,0,0,0,428.8,0
9594,S,E,NA,NA,NA,329,754,6,7,9,No,1,No,9,No,3,No,168,Yes,0,No,139,Yes,187,Yes,111,Yes,43,No,3,0,3,1,52,0,42,57,41,0,16,26,9,12,No,5,95,96,19,29,NA,95,19,27,33,14,7,2.63,100,0,22,63,16,0,0,344,0,344,167.25051,329,157.92,0,0,54.5,329,105.28,0,0,36.3,70,14,0,0,4.8,0,0,0,0,0,64,3.84,1.3,63,1.89,0.7,63,1.89,0.7,64,5.12,1.8,0,0,0,0,0,0,289.94,0
4838,S,E,NA,NA,NA,244,706,4,4,3,No,0,No,4,No,1,No,170,Yes,0,No,66,Yes,160,Yes,161,Yes,6,No,1,0,2,0,69,0,27,64,50,3,3,56,12,2,No,6,94,96,22,33,NA,0,0,0,0,0,0,NA,94,0,28,72,0,0,0,258,0,258,165.13551,244,117.12,0,0,54,243,77.76,0,0,35.8,55,11,0,0,5.1,0,0,0,0,0,56,3.36,1.5,56,1.68,0.8,56,1.68,0.8,56,4.48,2.1,0,0,0,0,0,0,217.08,0
8793,S,E,NA,NA,NA,276,820,8,8,7,No,1,No,84,Yes,9,No,69,Yes,4,No,95,Yes,94,Yes,84,Yes,16,No,3,1,29,3,27,1,32,35,52,9,4,25,9,6,No,13,87,91,19,29,NA,97,10,24,18,29,18,3.2,93,4,26,74,0,0,0,316,1,315,175.86289,276,132.48,0,0,53.5,276,88.32,0,0,35.6,61,12.2,0,0,4.9,0,0,0,0,0,74,4.44,1.8,74,2.22,0.9,74,2.22,0.9,74,5.92,2.4,0,0,0,0,0,0,247.8,0
675,S,H,NA,NA,NA,1160,834,10,6,17,No,1,No,234,Yes,20,No,67,No,4,No,817,Yes,26,No,70,No,54,No,1,0,20,2,6,0,70,2,0,30,0,2,7,5,No,1,99,99,NA,NA,26,95,1,5,9,45,39,4.18,86,11,0,0,0,0,100,1177,0,1177,182.33775,0,0,1154,346.2,29.8,0,0,1159,231.8,19.9,0,0,1151,172.65,14.9,0,0,744,167.4,14.4,0,0,0,0,0,0,0,0,0,0,0,0,410,123,10.6,403,120.9,10.4,0,1161.95
8288,S,E,NA,NA,NA,177,691,3,6,0,No,1,No,1,No,3,No,151,Yes,1,No,20,No,139,Yes,74,Yes,11,No,0,1,1,2,86,1,10,76,21,6,14,32,13,6,No,11,90,97,20,29,NA,82,43,19,30,7,1,2.04,100,0,21,59,21,0,0,197,0,197,160.48209,177,84.96,0,0,54.3,177,56.64,0,0,36.2,37,7.4,0,0,4.7,0,0,0,0,0,38,2.28,1.5,38,1.14,0.7,38,1.14,0.7,38,3.04,1.9,0,0,0,0,0,0,156.6,0
2262,S,E,NA,NA,NA,235,789,7,4,10,No,0,No,15,No,2,No,108,Yes,1,No,92,Yes,76,Yes,48,No,21,No,5,0,6,1,46,0,38,33,49,4,0,17,4,9,No,3,97,97,21,28,NA,37,6,25,37,25,8,3.04,100,6,25,75,0,0,0,242,0,242,175.33861,235,112.8,0,0,53.2,235,75.2,0,0,35.5,63,12.6,0,0,5.9,0,0,0,0,0,57,3.42,1.6,57,1.71,0.8,57,1.71,0.8,57,4.56,2.2,0,0,0,0,0,0,212,0
6601,S,E,NA,NA,NA,329,708,4,2,12,No,1,No,7,No,3,No,88,Yes,9,No,206,Yes,214,Yes,19,No,40,No,4,0,2,1,27,2,63,57,35,0,0,4,2,12,No,16,84,87,21,26,NA,62,15,29,39,10,6,2.63,100,0,20,62,18,0,0,391,0,391,167.701,329,157.92,0,0,54.2,328,104.96,0,0,36,75,15,0,0,5.1,0,0,0,0,0,68,4.08,1.4,68,2.04,0.7,68,2.04,0.7,68,5.44,1.9,0,0,0,0,0,0,291.48,0
5528,S,E,NA,NA,NA,374,644,2,3,5,No,0,No,3,No,0,No,334,Yes,0,No,32,No,310,Yes,246,Yes,32,No,1,0,1,0,88,0,10,72,26,2,0,63,2,8,Yes,12,87,89,20,29,NA,97,52,31,15,2,1,1.68,97,0,25,75,0,0,0,429,0,428,158.37978,374,179.52,0,0,53.3,374,119.68,0,0,35.5,93,18.6,0,0,5.5,0,0,0,0,0,95,5.7,1.7,95,2.85,0.8,95,2.85,0.8,95,7.6,2.3,0,0,0,0,0,0,336.8,0
7160,S,E,NA,NA,NA,276,760,6,8,49,No,4,No,2,No,42,No,116,Yes,8,No,38,No,167,Yes,83,Yes,36,No,17,1,1,14,43,3,14,58,45,6,0,27,5,13,No,6,94,95,21,32,NA,91,8,35,35,14,7,2.76,100,0,21,79,0,0,0,293,0,293,167.03847,276,132.48,0,0,53.1,276,88.32,0,0,35.4,78,15.6,0,0,6.3,0,0,0,0,0,65,3.9,1.6,65,1.95,0.8,65,1.95,0.8,65,5.2,2.1,0,0,0,0,0,0,249.4,0
5066,S,E,NA,NA,NA,701,638,1,6,3,No,0,No,1,No,0,No,684,Yes,0,No,13,No,698,Yes,596,Yes,66,No,0,0,0,0,97,0,2,99,0,2,5,76,10,9,No,6,94,97,NA,32,NA,90,55,30,11,3,0,1.64,100,0,0,69,31,0,0,742,0,741,155.39688,701,336.48,0,0,54.9,700,224,0,0,36.5,264,52.8,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.28,0
8864,S,E,NA,NA,NA,317,594,1,3,0,No,0,No,0,No,5,No,293,Yes,1,No,18,No,250,Yes,225,Yes,47,No,0,0,0,2,92,0,5,72,50,4,50,69,6,14,No,14,86,91,21,29,NA,58,50,23,15,8,3,1.91,100,0,26,74,0,0,0,368,0,362,152.62859,315,151.2,0,0,52.9,315,100.8,0,0,35.3,81,16.2,0,0,5.7,0,0,0,0,0,88,5.28,1.8,88,2.64,0.9,88,2.64,0.9,88,7.04,2.5,0,0,0,0,0,0,285.8,0
7729,S,E,NA,NA,NA,318,881,10,10,10,No,1,No,227,Yes,5,No,6,No,0,No,38,No,152,Yes,143,Yes,36,No,4,0,71,2,2,0,12,47,49,10,0,31,21,12,No,2,98,99,20,26,NA,93,6,30,25,28,11,3.07,100,0,22,78,0,0,0,325,0,325,180.67921,318,152.64,0,0,53.1,318,101.76,0,0,35.4,78,15.6,0,0,5.4,0,0,0,0,0,86,5.16,1.8,86,2.58,0.9,86,2.58,0.9,86,6.88,2.4,0,0,0,0,0,0,287.2,0
1199,S,E,NA,NA,NA,162,628,1,6,1,No,0,No,1,No,0,No,140,Yes,1,No,16,No,161,Yes,103,Yes,16,No,1,0,1,0,87,1,9,99,23,0,3,63,5,9,No,14,86,85,22,25,NA,92,51,35,11,2,0,1.64,87,13,19,39,10,32,0,189,0,188,152.21016,162,77.76,0,0,52.6,162,51.84,0,0,35.1,17,3.4,0,0,2.3,28,5.6,0,0,3.8,46,2.76,1.9,46,1.38,0.9,46,1.38,0.9,46,3.68,2.5,0,0,0,0,0,0,147.8,0
5667,D,1,NA,NA,NA,15424,671,B,B,630,Yes,50,No,202,Yes,72,No,10687,Yes,66,No,3695,Yes,10340,Yes,5837,Yes,1490,Yes,4,0,1,0,70,0,23,60,10,6,0,32,8,10,NA,9,90,93,22,32,29,88,33,30,25,9,3,2.19,94,3,10,31,10,20,29,16483,5,16383,NA,11003,5281.44,4392,1317.6,45.3,10988,3516.16,4418,883.6,30.2,1624,324.8,4383,657.45,6.7,1603,320.6,2761,621.225,6.5,3056,183.36,1.3,3055,91.65,0.6,3055,91.65,0.6,3056,244.48,1.7,1747,524.1,3.6,1725,517.5,3.6,10054.14,4521.475
72,D,1,NA,NA,NA,23563,833,B,B,1285,Yes,99,No,10432,Yes,1260,Yes,3406,Yes,199,Yes,6830,Yes,4438,Yes,4292,Yes,2405,Yes,6,0,43,5,15,1,29,17,19,12,1,14,7,10,NA,7,93,96,20,29,28,99,6,15,19,31,30,3.63,95,2,10,30,10,20,30,24682,39,24549,NA,16562,7949.76,6960,2088,45.2,16553,5296.96,6985,1397,30.1,2260,452,6955,1043.25,6.7,2456,491.2,4487,1009.575,6.8,4672,280.32,1.3,4672,140.16,0.6,4675,140.25,0.6,4675,374,1.7,2584,775.2,3.5,2562,768.6,3.5,15124.65,7081.625
8481,S,E,NA,NA,NA,328,841,9,1,10,No,2,No,50,Yes,5,No,61,Yes,2,No,192,Yes,52,Yes,66,No,25,No,3,1,15,1,19,1,58,14,56,16,0,16,6,8,No,5,95,95,20,30,NA,94,6,12,20,38,25,3.64,97,0,30,70,0,0,0,345,2,343,183.33197,328,157.44,0,0,55,328,104.96,0,0,36.6,34,6.8,0,0,2.4,0,0,0,0,0,86,5.16,1.8,86,2.58,0.9,86,2.58,0.9,86,6.88,2.4,0,0,0,0,0,0,286.4,0
928,D,2,NA,NA,NA,1161,807,B,B,13,No,51,No,8,No,2,No,171,Yes,4,No,900,Yes,384,Yes,75,No,142,Yes,1,4,1,0,15,0,77,32,25,8,0,1,6,12,NA,6,94,94,19,28,27,93,4,33,38,17,8,2.9,100,0,12,43,15,29,0,1218,1,1217,NA,1161,557.28,0,0,52.5,1158,370.56,0,0,34.9,179,35.8,0,0,3.4,166,33.2,0,0,3.1,322,19.32,1.8,322,9.66,0.9,322,9.66,0.9,322,25.76,2.4,0,0,0,0,0,0,1061.24,0
5547,S,E,NA,NA,NA,325,732,5,8,42,No,9,No,45,No,3,No,161,Yes,0,No,65,Yes,274,Yes,106,Yes,34,No,14,3,13,1,49,0,20,84,67,4,0,34,0,10,No,13,87,87,19,30,NA,45,32,34,19,13,3,2.21,97,0,42,58,0,0,0,375,0,375,162.79103,325,156,0,0,56.3,324,103.68,0,0,37.4,0,0,0,0,0,0,0,0,0,0,88,5.28,1.9,88,2.64,1,87,2.61,0.9,88,7.04,2.5,0,0,0,0,0,0,277.25,0
10362,D,1,NA,NA,NA,5003,686,B,B,239,Yes,111,Yes,516,Yes,99,No,1979,Yes,61,No,1989,Yes,3245,Yes,1697,Yes,565,Yes,5,2,10,2,40,1,39,59,21,4,0,22,16,12,NA,9,91,93,19,29,28,95,32,27,25,13,2,2.27,97,2,11,33,11,19,26,5472,44,5387,NA,3709,1780.32,1288,386.4,46.5,3699,1183.68,1288,257.6,30.9,551,110.2,1279,191.85,6.5,407,81.4,781,175.725,5.5,1055,63.3,1.4,1055,31.65,0.7,1060,31.8,0.7,1061,84.88,1.8,474,142.2,3.1,456,136.8,2.9,3367.23,1290.575
5778,S,E,NA,NA,NA,536,679,3,5,92,Yes,3,No,7,No,15,No,377,Yes,6,No,36,No,453,Yes,234,Yes,44,No,17,0,2,3,70,1,6,75,28,2,0,38,6,8,Yes,11,89,90,19,33,NA,96,34,30,27,10,0,2.13,98,0,26,74,0,0,0,601,0,601,160.29388,536,257.28,0,0,53.6,536,171.52,0,0,35.7,140,28,0,0,5.8,0,0,0,0,0,117,7.02,1.5,117,3.51,0.7,117,3.51,0.7,117,9.36,1.9,0,0,0,0,0,0,480.2,0
3134,S,E,NA,NA,NA,853,607,1,3,41,No,0,No,0,No,0,No,812,Yes,0,No,0,No,853,Yes,712,Yes,56,No,5,0,0,0,94,0,0,100,49,0,1,79,4,7,Yes,6,95,97,19,30,NA,82,68,25,5,1,1,1.42,89,6,24,76,0,0,0,903,0,901,154.82354,853,409.44,0,0,53.3,852,272.64,0,0,35.5,212,42.4,0,0,5.5,0,0,0,0,0,222,13.32,1.7,222,6.66,0.9,222,6.66,0.9,222,17.76,2.3,0,0,0,0,0,0,768.88,0
1359,S,H,A,S,NA,62,354,B,B,0,No,9,No,2,No,0,No,4,No,2,No,31,No,38,No,3,No,20,No,0,17,5,0,6,4,50,59,0,0,0,5,1,28,No,38,62,78,NA,NA,NA,43,13,56,17,13,2,2.35,100,0,0,0,1,24,75,111,3,104,NA,9,4.32,51,15.3,33.4,10,3.2,52,10.4,23.2,0,0,52,7.8,13.3,4,0.8,22,4.95,9.8,1,0.06,0.1,1,0.03,0.1,2,0.06,0.1,1,0.08,0.1,21,6.3,10.7,18,5.4,9.2,8.55,50.15
